,Restaurant_Name,longitude,lattitude,rad_longi,rad_latit,e_distance
147,Youthapam,73.80664,18.5074,1.2881308864444445,0.3230055394444445,0.00044067748942528084
148,Hotel Amchee,73.81908,18.48984,1.2883479990000002,0.3226990686666667,0.0004534317653362711
149,V. P. Biryani,73.80652,18.50739,1.2881287921111113,0.3230053649166667,0.00043943394656610857
150,Hotel Vishwaraj,73.81541,18.5152,1.2882839473055556,0.32314167111111114,0.0006395746811355986
151,Hotel Gagangiri,73.82356,18.49064,1.2884261874444445,0.3227130308888889,0.0005328368212523608
152,Shri Adarsh Foods,73.82114,18.48989,1.2883839517222222,0.32269994130555557,0.000489122527728411
153,Hunger's Roll House,73.81541,18.51534,1.2882839473055556,0.3231441145,0.0006415299500448009
154,Hotel Swagat,73.80634,18.50738,1.2881256506111112,0.3230051903888889,0.0004376556773307191
155,Hotel Shubhankar,73.828,18.49355,1.2885036777777779,0.32276381847222224,0.0006184498375675543
156,Darvesh Biryani House,73.81721,18.48956,1.2883153623055557,0.32269418188888893,0.0004204314758699922
157,Kenara,73.80617,18.50745,1.2881226836388888,0.3230064120833333,0.0004371826427066897
158,Dwarkadhish Snacks & Chinese Centre,73.80613,18.50753,1.2881219855277777,0.32300780830555553,0.00043802988481419315
159,The Food Cafe,73.80517,18.50213,1.2881052308611112,0.3229135633055556,0.00034990351595567585
160,Tapri The Street Cafe,73.80517,18.50213,1.2881052308611112,0.3229135633055556,0.00034990351595567585
161,The Street Food Cafe,73.80517,18.50213,1.2881052308611112,0.3229135633055556,0.00034990351595567585
162,New Hyderabad House,73.80616,18.50782,1.2881225091111113,0.32301286961111114,0.0004426624515052215
163,Balaji Bhel,73.82409,18.49036,1.2884354374166667,0.3227081441111111,0.0005412521727673726
164,Ashwini's Biryani,73.80501,18.50336,1.2881024384166666,0.32293503022222225,0.0003659442992665562
165,Omkar Restaurant,73.80497,18.50249,1.2881017403055557,0.3229198463055556,0.0003530007134307982
166,Cakelets Cake & Cafe,73.81168,18.49085,1.2882188484444443,0.3227166959722222,0.00033052672153876926
167,Hotel Gurudatta Fast Food And Snacks,73.81481,18.48946,1.2882734756388887,0.32269243661111113,0.00037879431853381
168,Abhishek Non Veg Restaurant,73.82438,18.49025,1.2884404987222224,0.32270622430555557,0.0005459910944134777
169,Golden Dragon Veg Non Veg,73.80487,18.50098,1.2880999950277778,0.3228934926111111,0.0003306678740419791
170,Golden Dragon,73.80487,18.50098,1.2880999950277778,0.3228934926111111,0.0003306678740419791
171,Kalinga Veg Gourmet Kitchen,73.83207,18.50514,1.2885747105833334,0.3229660961666667,0.0007538199001616427
172,The Fuel,73.81499,18.48911,1.2882766171388889,0.3226863281388889,0.000380947486028486
173,A & G Kitchen's,73.830175,18.494725,1.2885416375694445,0.32278432548611113,0.00066004763857256
174,Aaswad Biryani,73.80834,18.51244,1.288160556166667,0.3230935014444445,0.0005315438813096003
175,Shaukeen Paan Shop,73.8315,18.5083,1.2885647625,0.32302124694444445,0.0007713594699402555
176,Surmai,73.8262,18.49057,1.2884722627777778,0.3227118091944445,0.0005782242243320125
177,Potbhar Non Veg,73.82871,18.49247,1.28851606925,0.32274496947222225,0.0006268344389933128
178,Sweekar Veg Restaurant,73.83244,18.50656,1.2885811681111112,0.32299087911111113,0.0007708829316494228
179,Nutri Toss,73.83234,18.50699,1.2885794228333334,0.32299838380555557,0.0007728865048927072
180,Good Food's,73.83167,18.50879,1.2885677294722224,0.3230297988055556,0.0007782735493362598
181,Pratik Biryani House,73.81425,18.48875,1.2882637020833334,0.32268004513888887,0.00036727420872135314
182,S G Bakers,73.80402,18.50499,1.2880851601666665,0.32296347825000005,0.00038125931603569604
183,Uttam Sweets,73.81407,18.48856,1.2882605605833333,0.3226767291111111,0.00036372380285000234
184,Amit Foods,73.8174,18.51742,1.2883186783333336,0.3231804162777778,0.0006914275146392595
185,A1 Chapati Centre,73.81335,18.48866,1.2882479945833334,0.3226784743888889,0.0003514991610874256
186,Signature,73.80443,18.50791,1.2880923158055555,0.3230144403611111,0.0004296720057832246
187,Signature Bar Be Que,73.80443,18.50791,1.2880923158055555,0.3230144403611111,0.0004296720057832246
188,Signature Fine Dining,73.80443,18.50791,1.2880923158055555,0.3230144403611111,0.0004296720057832246
189,Shree Samarth Bhurji Center,73.806,18.51114,1.2881197166666667,0.3230708128333334,0.0004923470371390527
190,Swanand,73.80351,18.50508,1.2880762592500001,0.322965049,0.00037840121718763436
191,Relax Chinese & Tandoor,73.81336,18.48822,1.2882481691111114,0.32267079516666664,0.000350702702001578
192,Darshini,73.83211,18.51018,1.2885754086944445,0.32305405816666666,0.0007974950317214983
193,Hotel Ruchi,73.82077,18.48729,1.2883774941944444,0.3226545640833334,0.00047829814336393834
194,Shreeraj Tasty,73.82203,18.48748,1.2883994846944444,0.32265788011111113,0.0005004333489694136
195,Step-In,73.8183,18.48706,1.2883343858333334,0.3226505499444445,0.0004350454865375479
196,Eat-n-Dream,73.82876,18.51446,1.2885169418888889,0.3231287560555556,0.000793286482225379
197,Chai Smith,73.80364,18.50738,1.2880785281111111,0.3230051903888889,0.0004153057073854041
198,Khandeshi That,73.80361,18.50758,1.288078004527778,0.32300868094444446,0.00041823589192476043
199,Sarvadnya Misal,73.80276,18.50207,1.288063169666667,0.32291251613888894,0.00032608146200146674
200,Tree House Cafe,73.82239,18.48728,1.2884057676944445,0.32265438955555553,0.0005065289540008216
201,Madhuban,73.81704,18.51845,1.2883123953333335,0.32319839263888894,0.0007021033848820087
202,Banbury Cafe,73.80351,18.50819,1.2880762592500001,0.32301932713888887,0.0004271676372728479
203,Kothrud Vadapav,73.8025,18.50217,1.2880586319444445,0.3229142614166667,0.00032535409164962184
204,Mr. Food,73.80249,18.50196,1.2880584574166667,0.32291059633333336,0.0003220743101401462
205,Much Food,73.80249,18.50196,1.2880584574166667,0.32291059633333336,0.0003220743101401462
206,Foodways,73.80249,18.50196,1.2880584574166667,0.32291059633333336,0.0003220743101401462
207,Food Buggi,73.80249,18.50196,1.2880584574166667,0.32291059633333336,0.0003220743101401462
208,Foodastic,73.80249,18.50196,1.2880584574166667,0.32291059633333336,0.0003220743101401462
209,Food 365,73.80249,18.50196,1.2880584574166667,0.32291059633333336,0.0003220743101401462
210,Foodpath,73.80249,18.50196,1.2880584574166667,0.32291059633333336,0.0003220743101401462
211,Food Funda,73.80249,18.50196,1.2880584574166667,0.32291059633333336,0.0003220743101401462
212,Food Pot,73.80249,18.50196,1.2880584574166667,0.32291059633333336,0.0003220743101401462
213,Hobbit Food,73.80249,18.50196,1.2880584574166667,0.32291059633333336,0.0003220743101401462
214,Foodniac,73.80249,18.50196,1.2880584574166667,0.32291059633333336,0.0003220743101401462
215,Marigold,73.82903,18.51491,1.288521654138889,0.3231366098055556,0.0008018933206284795
216,Avdhoot Food,73.82314,18.48716,1.288418857277778,0.3226522952222223,0.0005195112400168934
217,Shrinidhi's Hyderabadi Spice,73.83317,18.50954,1.288593908638889,0.32304288838888895,0.0008074626238086071
218,Spicy Affairs,73.82427,18.48745,1.2884385789166666,0.32265735652777777,0.0005394459656499753
219,Kothrud Katta,73.80244,18.50511,1.288057584777778,0.3229655725833333,0.00037053595410384575
220,Solankar Food Center,73.80232,18.5045,1.2880554904444443,0.32295492638888895,0.000360020983165898
221,Su Krishna Foods,73.829366,18.514859,1.2885275182722222,0.32313571971388894,0.000805890747222739
222,Multi Spice,73.83487,18.50157,1.288623578361111,0.32290378975000006,0.0007737133115083924
223,New Naaz Cateres Biryani House,73.80217,18.50369,1.288052872527778,0.3229407896388889,0.0003461625495075389
224,Gaarva Biryani,73.81558,18.4865,1.2882869142777778,0.32264077638888894,0.0003872442218182489
225,Food Express,73.81553,18.48642,1.2882860416388888,0.32263938016666666,0.0003863365827027204
226,Krrishnai Veg,73.81279,18.4871,1.2882382210277779,0.32265124805555556,0.0003390568077750937
227,Richie Rich,73.81466,18.51896,1.2882708577222224,0.3232072935555556,0.0006859965664160904
228,Cafe Pizza Times,73.80402,18.51104,1.2880851601666665,0.3230690675555556,0.0004763054590982573
229,Aroha Pizza Cafe,73.80402,18.51104,1.2880851601666665,0.3230690675555556,0.0004763054590982573
230,Pub-G House,73.803092,18.496143,1.288068963988889,0.32280907352500005,0.0002461113426067737
231,Harvest Club,73.83552,18.50223,1.288634922666667,0.3229153085833334,0.0007884258894590342
232,Rock & Rolls,73.81559,18.48591,1.2882870888055555,0.32263047925000005,0.00038727717821441236
233,Gulmohar Cafe,73.82575,18.48725,1.288464409027778,0.32265386597222223,0.0005650887653060357
234,Grill n Chill,73.83483,18.50802,1.28862288025,0.3230163601666666,0.0008196749248259273
235,Hotel Mehfil,73.83487,18.50805,1.288623578361111,0.32301688375000004,0.0008205373682558717
236,Rudra Bhel,73.81564,18.48566,1.2882879614444445,0.3226261160555556,0.000388172377839048
237,Cafe Rudra,73.81564,18.48566,1.2882879614444445,0.3226261160555556,0.000388172377839048
238,Rudra Cafe,73.81564,18.48566,1.2882879614444445,0.3226261160555556,0.000388172377839048
239,The Bakerz Square,73.80211,18.49651,1.288051825361111,0.32281547869444444,0.00023957788563869111
240,Seven27,73.802696,18.510232,1.2880620526888888,0.3230549657111111,0.00045459773951886254
241,K Seven,73.802696,18.510232,1.2880620526888888,0.3230549657111111,0.00045459773951886254
242,A1 Chinese,73.81179,18.48642,1.2882207682500002,0.32263938016666666,0.0003210848674055738
243,Lavangi Mirchi,73.8331,18.49123,1.2885926869444444,0.3227233280277778,0.0006990919009198547
244,Swami The Veg Heritage,73.83341,18.51372,1.2885980973055555,0.323115841,0.0008504988597972236
245,Olive Wheat Grape,73.8338,18.5141,1.288604903888889,0.3231224730555555,0.0008598748223864064
246,Malhar,73.82806,18.48589,1.2885047249444443,0.3226301301944445,0.0006049133029545693
247,Laxmi Misal,73.79906,18.50271,1.287998594388889,0.3229236859166667,0.0003095651005253208
248,Shree Swami Samarth,73.8381,18.50241,1.2886799508333333,0.32291845008333336,0.0008316518914166058
249,Rounak,73.83135,18.51805,1.2885621445833333,0.32319141152777775,0.0008680586038629547
250,Athavan,73.81165,18.48381,1.2882183248611112,0.3225938284166666,0.0003205950341195419
251,Swami Snacks,73.83724,18.50992,1.2886649414444444,0.32304952044444446,0.0008724479346070962
252,Sawai Veg,73.83778,18.49567,1.2886743659444444,0.32280081836111113,0.0007931010214787003
253,Maratha Village,73.79853,18.50752,1.2879893444166668,0.32300763377777775,0.0003878057883644077
254,KWC Foodies,73.83888,18.49882,1.2886935640000001,0.3228557946111111,0.0008251596552565088
255,foodies24,73.83888,18.49882,1.2886935640000001,0.3228557946111111,0.0008251596552565088
256,Foodie Stop,73.83888,18.49882,1.2886935640000001,0.3228557946111111,0.0008251596552565088
257,Thai Foodies,73.83888,18.49882,1.2886935640000001,0.3228557946111111,0.0008251596552565088
258,Ek No. Foodies,73.83888,18.49882,1.2886935640000001,0.3228557946111111,0.0008251596552565088
259,Friend's Katta,73.83816,18.49597,1.2886809980000002,0.32280605419444447,0.0008007121607501594
260,Green Cafe,73.83796,18.51068,1.2886775074444445,0.3230627845555556,0.0008898592748368697
261,Shree Mayureshwar Bhuvan,73.83804,18.51209,1.2886789036666668,0.3230873929722223,0.00090327958725522
262,Bahubali's House of Paranthas,73.83435,18.51821,1.2886145029166667,0.3231942039722222,0.0009103658313978832
263,The Paratha House,73.83435,18.51821,1.2886145029166667,0.3231942039722222,0.0009103658313978832
264,Annapurna Paratha House,73.83435,18.51821,1.2886145029166667,0.3231942039722222,0.0009103658313978832
265,Astha Roll - Paratha House,73.83435,18.51821,1.2886145029166667,0.3231942039722222,0.0009103658313978832
266,Aashirvad Paratha House,73.83435,18.51821,1.2886145029166667,0.3231942039722222,0.0009103658313978832
267,Sai Paratha,73.80937,18.48238,1.288178532527778,0.3225688709444444,0.0002854109799403818
268,Malwani Katta,73.8264,18.48183,1.2884757533333335,0.32255927191666667,0.0005803054909854292
269,Hot Tadka Restaurant,73.83774,18.51456,1.2886736678333333,0.3231305013333333,0.0009214391007845001
270,Pakwaan,73.79619,18.50782,1.2879485049166668,0.32301286961111114,0.0003856513020931143
271,Tapadia College Katta,73.83937,18.51272,1.2887021158611112,0.32309838822222225,0.0009288671505630464
272,China Express,73.82535,18.48048,1.2884574279166667,0.3225357106666667,0.0005655828123363809
273,Le Plaisir,73.83878,18.51423,1.2886918187222223,0.3231247419166667,0.0009336719527219218
274,Shree Snacks Center,73.79503,18.50309,1.2879282596944444,0.3229303179722222,0.00030135898934652923
275,Biryani Corner,73.82642,18.48037,1.2884761023888889,0.32253379086111117,0.0005843166281269999
276,Pizza & Soup,73.82436,18.47973,1.2884401496666666,0.32252262108333335,0.0005509636288613696
277,Hotel Kolhapuri Thaska,73.84012,18.51289,1.2887152054444446,0.32310135519444444,0.0009416769935701804
278,Nityanand Bhuvan,73.82798,18.48059,1.2885033287222223,0.3225376304722222,0.0006105909866345216
279,Deccan Family Kitchen,73.83577,18.51955,1.288639285861111,0.32321759069444445,0.0009443129234622685
280,Deccan Zaika,73.83577,18.51955,1.288639285861111,0.32321759069444445,0.0009443129234622685
281,Govinda Deccan Veg,73.83577,18.51955,1.288639285861111,0.32321759069444445,0.0009443129234622685
282,Pet Pooja Foods,73.79496,18.50836,1.2879270380000003,0.3230222941111111,0.0003929337784261282
